season,week,game_id,game_date,season_type,posteam,home_team,away_team,passer_player_name,receiver_player_name,passing_yards,pass_touchdown,first_down
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,T.Brady,W.Welker,2,1,1
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,M.Cassel,J.Gaffney,7,0,0
2007,8,2007_08_WAS_NE,2007-10-28,REG,NE,NE,WAS,M.Cassel,J.Gaffney,21,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,D.Stallworth,9,0,0
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,14,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,B.Watson,4,0,0
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,B.Watson,6,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,4,1,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,W.Welker,12,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,9,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,K.Faulk,1,0,0
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,17,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,K.Faulk,6,0,0
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,W.Welker,3,0,0
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,12,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,14,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,15,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,55,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,W.Welker,10,0,0
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,W.Welker,3,1,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,R.Moss,5,0,0
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,D.Stallworth,33,0,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,K.Faulk,13,1,1
2007,9,2007_09_NE_IND,2007-11-04,REG,NE,IND,NE,T.Brady,W.Welker,10,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,J.Gaffney,7,0,0
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,W.Welker,7,0,0
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,B.Watson,15,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,R.Moss,43,1,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,D.Stallworth,14,0,0
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,J.Gaffney,31,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,R.Moss,9,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,R.Moss,16,1,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,B.Watson,25,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,W.Welker,15,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,K.Faulk,8,0,0
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,D.Stallworth,11,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,K.Faulk,10,0,1
2007,11,2007_11_NE_BUF,2007-11-18,REG,NE,BUF,NE,T.Brady,R.Moss,6,1,1
